Идентификатор пользователя,Название приюта,Дата/время платежа,Наименование услуги,Сумма платежа
26869,Люськин дом,2019-9-1 1:3:41,КотоДень,87
26869,Убежище,2019-9-1 1:3:41,КотоДень,114
4696,Кошачий приют ДОМИК,2019-9-1 3:33:29,КотоДень,67
27670,Приют для кошек ЯрКот,2019-9-1 10:37:3,КотоДень,83
2223,Самарский приют для животных НадеждА,2019-9-1 11:14:16,КотоДень,98
2223,Матроскин,2019-9-1 11:14:16,КотоДень,98
2223,ФлагманВет,2019-9-1 11:14:16,КотоДень,88
2223,Приют для кошек ЯрКот,2019-9-1 11:14:16,КотоДень,83
2223,Приют для кошек ЯрКот,2019-9-1 11:14:16,КотоДень,83
2223,Котофей,2019-9-1 11:14:16,КотоДень,87
2223,Добрые сердца,2019-9-1 11:14:16,КотоДень,77
2223,Добрые сердца,2019-9-1 11:14:16,КотоДень,77
6102,Убежище,2019-9-1 11:39:17,КотоДень,114
6602,Кошачий приют ДОМИК,2019-9-1 15:6:37,КотоДень,67
6602,Кошачий приют ДОМИК,2019-9-1 15:6:37,КотоДень,67
6602,Кот и Пёс,2019-9-1 15:6:37,КотоДень,85
23484,Матроскин,2019-9-1 15:45:19,КотоДень,98
27028,Убежище,2019-9-1 15:47:47,КотоДень,114
23484,Кошачий приют ДОМИК,2019-9-1 15:52:2,КотоДень,67
27762,Убежище,2019-9-1 19:30:29,КотоДень,114
6370,Люськин дом,2019-9-1 20:21:47,КотоДень,106
6370,Люськин дом,2019-9-1 20:21:47,КотоДень,106
27573,Котофей,2019-9-1 22:9:50,КотоДень,87
27573,Котофей,2019-9-1 22:9:50,КотоДень,87
25847,Убежище,2019-9-1 23:24:21,КотоДень,114
25847,Кошачий приют ДОМИК,2019-9-1 23:27:48,КотоДень,67
27768,Добрые сердца,2019-9-2 8:57:48,КотоДень,77
27766,Самарский приют для животных НадеждА,2019-9-2 8:58:41,КотоДень,98
27766,Самарский приют для животных НадеждА,2019-9-2 8:58:41,КотоДень,98
27767,Убежище,2019-9-2 9:37:31,КотоДень,114
27767,Убежище,2019-9-2 9:37:31,КотоДень,114
26899,Убежище,2019-9-2 9:40:35,КотоДень,114
27772,Убежище,2019-9-2 10:49:44,КотоДень,114
27364,Самарский приют для животных НадеждА,2019-9-2 10:55:5,КотоДень,98
27364,Убежище,2019-9-2 10:55:5,КотоДень,114
27364,Добрые сердца,2019-9-2 10:55:5,КотоДень,77
1810,Убежище,2019-9-2 11:18:30,КотоДень,114
26752,Люськин дом,2019-9-2 11:57:33,КотоДень,106
26752,Убежище,2019-9-2 11:57:33,КотоДень,114
